Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,IATA_Source,Latitude_Source,Longitude_Source,IATA_Destination,Latitude_Destination,Longitude_Destination,Airport_Name,IATA_x,Latitude,Longitude,IATA_y,ISO_Country_Source,Scheduled_Service_Source,IATA,ISO_Country_Destination,Scheduled_Service_Destination
NZ,345,MEL,3339,AKL,2006,,0,320 773,MEL,-37.673302,144.843002,AKL,-37.01199,174.786331,Melbourne International Airport,MEL,-37.673302,144.843002,MEL,AU,yes,AKL,NZ,yes
NZ,345,MEL,3339,CHC,2009,,0,320,MEL,-37.673302,144.843002,CHC,-43.48939895629883,172.53199768066406,Melbourne International Airport,MEL,-37.673302,144.843002,MEL,AU,yes,CHC,NZ,yes
NZ,345,MEL,3339,WLG,2042,,0,320,MEL,-37.673302,144.843002,WLG,-41.3272018433,174.804992676,Melbourne International Airport,MEL,-37.673302,144.843002,MEL,AU,yes,WLG,NZ,yes
NZ,345,NAN,1960,AKL,2006,,0,772 320 763 773,NAN,-17.755399703979492,177.4429931640625,AKL,-37.01199,174.786331,Nadi International Airport,NAN,-17.755399703979492,177.4429931640625,NAN,FJ,yes,AKL,NZ,yes
NZ,345,NLK,3359,AKL,2006,,0,320,NLK,-29.041887,167.939616,AKL,-37.01199,174.786331,Norfolk Island International Airport,NLK,-29.041887,167.939616,NLK,NF,yes,AKL,NZ,yes
NZ,345,NOU,2005,AKL,2006,,0,320,NOU,-22.014601,166.212997,AKL,-37.01199,174.786331,La Tontouta International Airport,NOU,-22.014601,166.212997,NOU,NC,yes,AKL,NZ,yes
NZ,345,NPE,4095,AKL,2006,Y,0,AT7 DH3,NPE,-39.465801,176.869995,AKL,-37.01199,174.786331,Hawke's Bay Airport,NPE,-39.465801,176.869995,NPE,NZ,yes,AKL,NZ,yes
NZ,345,NPE,4095,CHC,2009,Y,0,DH3,NPE,-39.465801,176.869995,CHC,-43.48939895629883,172.53199768066406,Hawke's Bay Airport,NPE,-39.465801,176.869995,NPE,NZ,yes,CHC,NZ,yes
NZ,345,NPE,4095,WLG,2042,Y,0,DH3 AT7,NPE,-39.465801,176.869995,WLG,-41.3272018433,174.804992676,Hawke's Bay Airport,NPE,-39.465801,176.869995,NPE,NZ,yes,WLG,NZ,yes
NZ,345,NPL,2023,AKL,2006,Y,0,DH3 AT7,NPL,-39.00859832763672,174.1790008544922,AKL,-37.01199,174.786331,New Plymouth Airport,NPL,-39.00859832763672,174.1790008544922,NPL,NZ,yes,AKL,NZ,yes
